ciudad,codigo,indicador,indicator_code
El Salvador,SLV,Índice de volumen de importaciones (2015 = 100),"TM.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,22.3562640683,19.9261474617,15.9760057406,19.0245917288,18.7731157667,20.9821325631,23.9414333104,24.4773414588,24.7954784462,26.2404785313,31.9053890676,38.5747074793,39.7830384259,44.2494916145,50.8111289759,54.4945503098,51.0574527815,57.9847310659,59.562124889,62.8440926837,72.8825732466,76.1120803109,79.9360637772,83.274709944,84.1165330367,81.1764637338,86.656893099,93.8852327127,90.3844946098,77.2253759022,82.8221805891,85.3878873883,86.3188565089,91.2757313583,91.5859205375,100,101.0391028081,103.8660622929,104.8921308544,108.601411071,100.2163026501,126.683671512,,,"
El Salvador,SLV,Importaciones de bienes y servicios (US$ a precios constantes de 2015),"NE.IMP.GNFS.KD,,,,,,1945245544.0019,2140964873.36193,2179166672.33984,1960152833.62934,1906670445.95355,2035464914.38102,2207774906.67835,2404327282.07652,2834714774.32241,2901668451.38089,2687566222.65427,3210700602.92038,4222415415.54193,4292385173.52731,3928175944.3614,2909682153.7819,2541164268.93483,1979224917.13653,2249796798.33991,2276021158.68329,2256719201.59616,2184193109.93987,2188702823.26726,2182383810.72077,2313476141.46095,3272807023.54927,3399310683.77371,3980936494.15663,4742375068.67455,5422608684.77567,6432232923.90419,6085568040.36213,7014385767.12603,7456615620.18178,7590287159.00976,8588367706.76135,8833330340.67931,8912304251.07364,9279917056.19894,9478190385.25477,9941180565.41863,10858341486.7189,11986343990.2856,11469782036.8499,8908056850.75483,9709254882.58784,10204732543.2516,10320695432.7189,10816173189.4864,10542079113.3193,11033340000,10976412772.7881,11130327127.8425,11419180095.5475,11903061526.8488,10185756839.2891,13114346416.9692,13229255079.3044,13041606071.0873,"
El Salvador,SLV,Importaciones de bienes y servicios (balanza de pagos," US$ a precios actuales),BM.GSR.GNFS.CD,,,,,,,,,,,,,,,,,852400000,1069640000,1207920000,1255360000,1170440000,1161760000,1052840000,1078520000,1156440000,1185720000,1183351710.06667,1218840000,1307920000,1612380000,1624176198.58846,1614249480.24948,1925166949.06808,2160756333.66242,2528426177.86051,3150464042.64433,2983323814.96288,3444396859.38616,3655625356.93889,3758600000,4483400000,4617500000,4625150000,5115209896.78462,5571295185.86864,6508220000,7570730000,8855160000,9699490000,7413848782.98922,8595024121.21816,10201664565.7914,10495794652.0772,11155198952.7141,11038774821.7251,10925078971.7411,10717286434.5035,11336179943.2413,12323286065.442,12468596697.239,10447390056.6721,15483434147.349,18184316728.7889,17032373700.3651,"
El Salvador,SLV,Plazo de entrega para las importaciones," caso de la mediana (días),LP.IMP.DURS.MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,,,,,,,,,"
El Salvador,SLV,Importaciones de energía," valor neto (% del uso de energía),EG.IMP.CONS.ZS,,,,,,,,,,,,28.3741939976404,30.9016502848356,32.7400127197863,31.2084849017817,30.9592664401872,27.1828414968056,27.0569153751495,26.5706327981051,26.1258141821862,24.0775734689875,21.0911617383547,19.9698028791148,20.7879360113821,20.8464477275958,23.4809716111696,27.580262675854,29.2688277560495,30.8300859927255,31.9912202821348,31.4431296332377,36.7235474510856,38.2987314180073,41.8628854607087,44.5048999682157,46.673742564353,43.2278633027657,47.908119979305,49.3925144647231,47.1924495203154,46.595641438973,44.9784662163546,45.1455392936715,45.8083860802478,45.4350164549251,44.7930857998936,44.4500679645592,47.8876227069618,44.6042290510693,47.4919562854917,46.6282265878414,47.6102143533953,48.6373411229309,48.3108262255397,49.235465732583,,,,,,,,,,"
El Salvador,SLV,Importaciones de bienes y servicios (% del crecimiento anual),"NE.IMP.GNFS.KD.ZG,,,,,,,10.0614202645794,1.78432628452786,-10.0503482129404,-2.7284804918383,6.75494124854205,8.46538749353611,8.90273618037835,17.9005368967149,2.36191936010502,-7.37859036323465,19.4649856757558,31.5107179941135,1.65710265569415,-8.48500808855924,-25.9279066163386,-12.6652282060461,-22.1134603011653,13.6705979629057,1.16563239678938,-0.848057014474435,-3.21378448878328,0.20647044928748,-0.288710394089122,6.00684123920838,41.4670748012341,3.86529542726441,17.1101103867693,19.1271218627976,14.3437329660902,18.618792131601,-5.38949518220566,15.2626298909744,6.3046126594338,1.79265695909272,13.1494438463617,2.85226066561066,0.894044571509326,4.12477844975963,2.13658514246507,4.88479510692399,9.22587528980921,10.3883498685904,-4.30958725908651,-22.3345585632302,8.9940830560048,5.10314814736546,1.13636382899564,4.80081754177849,-2.53411323362938,4.66,-0.515956430345881,1.40222819823282,2.59518848266718,4.23744460856722,-14.4274200690816,28.7518112192093,0.876205787781359,-1.41843971631207,"
El Salvador,SLV,Importaciones de bienes," servicios e ingresos primario (balanza de pagos, US$ a precios actuales),BM.GSR.TOTL.CD,,,,,,,,,,,,,,,,,905240000,1135120000,1296760000,1385680000,1289080000,1281080000,1195240000,1230120000,1315520000,1323640000,1322300423.52359,1353740000,1437560000,1739740000,1785324896.5685,1765322245.32225,2054101465.16496,2303129078.68517,2658570814.83602,3271200799.58117,3117761279.26899,3682740899.35761,3929982866.93318,4153700000,4877800000,5052100000,5107650000,5678649896.78462,6172925185.86864,7173220000,8242650000,9619430000,10267790000,8046791782.98922,9189745675.76953,10881594121.6572,11444987768.2702,12220213220.9017,12186657241.9462,12141447779.3849,12096622988.808,12887361398.0303,14017796460.0862,14053321086.0536,11996271661.0082,17360558378.9065,20462444067.5407,19618181413.493,"
El Salvador,SLV,Seguro y servicios financieros (% de las importaciones de servicios," balanza de pagos),BM.GSR.INSF.ZS,,,,,,,,,,,,,,,,,9.79934671021932,9.96932515337423,7.60006229559259,8.51516764236296,11.2476232265614,12.6651480637813,11.3341764147961,12.7984407990905,14.399074227145,12.8078140046774,11.161630976826,13.4094966083542,12.8822495606327,13.6124853368695,11.3317865429234,10.7985936715219,11.0856018366678,11.1738484398217,11.0576923076923,10.5534393905445,6.74513354459032,16.2023977433004,13.9221556886227,17.1377882909521,15.6156466095572,11.1916264090177,12.4892580922372,11.5580986361019,12.89489899916,10.9623941438209,11.5853559542171,10.2788458627267,11.6260261848811,13.4364918880021,12.1220416179374,13.1141248865308,15.9602582165792,17.9899824902033,20.4022647973764,18.0319156406988,16.8434912068896,17.9859391757884,18.5504744327043,19.2518475493038,26.3538612336418,18.8023522407152,13.5245558992336,16.0591888947138,"
El Salvador,SLV,Aduana y otros impuestos a las importaciones (% de la recaudación impositiva),"GC.TAX.IMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1024603537166,10.72598415818,10.0414555504376,8.481807951988,7.96506062539885,7.15439163097662,5.82676138955876,5.23480767771793,5.06342132327734,5.37535945507414,5.18955154877485,5.3112918277563,4.80332750837681,4.94607462845618,4.91764961909494,4.75295866645702,4.82055413054078,4.77522888591709,4.07575493105254,5.09224446970359,,,"
El Salvador,SLV,Total de reservas en meses de importaciones,"FI.RES.TOTL.MO,,,,,,,,,,,,,,,,,3.32504426665485,3.10665607119014,3.52867696623864,3.4876736977044,3.55327970335433,2.59403401403605,3.45490274204049,3.3071285298767,2.83210256803146,3.01960354837666,3.20450881253492,3.66347109340373,2.95586485676775,3.13193241500869,4.00233858419984,3.08006623403053,3.37943179455416,3.74887649217125,3.74286350648725,3.44755207262372,4.27299068182246,4.7054285317164,5.33777899439701,5.65082935212686,4.67752283862506,4.09361299647222,3.83808988346727,4.19772707025253,3.76348345306325,3.09778831065276,2.86942411526091,2.87277448529832,3.09050316614064,4.65410104334671,3.76303154474913,2.74925436537715,3.33018622718777,2.69543497428614,2.65204723823456,2.75412377179494,3.21246782856233,3.32164342936321,3.05509694748583,3.79625337410217,3.08381767461301,2.3681627252636,,,"
El Salvador,SLV,Servicios de viaje (% de las importaciones de servicios comerciales),"TM.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,27.1177944862155,29.3354943273906,41.8993506493507,41.7737789203085,42.2225760229263,27.3675889328063,37.652088128905,36.1805672092633,32.2507815213616,32.929889298893,27.9804028307022,27.9600148093299,22.7655068078669,28.4040514645497,20.5476073014307,18.4742535348215,16.6380789022298,16.4336750543647,17.2181716208637,14.8512532208948,15.1162790697675,24.1360691144709,23.9591276498398,20.5224787363305,17.4390372638024,19.9734096952342,18.545101842871,21.2858276150372,16.1831524140858,18.8572212818519,18.5819638813077,21.5867158671587,18.8488848180245,19.6070860716855,20.7666235876304,17.5818629840547,20.0216482161,16.9214656067285,17.4826384726758,19.9956727535733,24.0044998312956,23.2041907743841,23.0286508746149,24.3185120731828,10.0066617165862,12.5818105357852,21.4032167518579,30.5537608130014,"
El Salvador,SLV,Índice de valor de las importaciones (2015 = 100),"TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,12.2359335006,12.4826481766,10.8508864174,11.2906160694,12.3793015773,12.1756479795,11.840531432,12.5897942817,12.7534264021,14.7078929864,15.9895934702,17.8057579887,21.5115441645,24.2184398566,28.4798406584,32.3411432022,31.3113561229,36.3242818947,38.4907207432,39.7828120758,48.0599685829,48.8371663758,50.3624170511,55.89995132,61.4853804233,64.9931655024,74.4458336947,85.6918857594,95.3777132848,71.1660589959,81.7612079444,96.8048427097,99.6571586392,104.6491972218,102.1450659124,100,95.4572789177,102.7018309884,111.3754555005,112.7141787093,99.5583573402,146.4621470667,,,"
El Salvador,SLV,Importaciones de mercaderías (US$ a precios actuales),"TM.VAL.MRCH.CD.WT,123000000,109000000,125000000,152000000,191000000,201000000,221000000,224000000,214000000,208000000,214000000,249000000,272000000,377000000,562000000,614000000,735000000,929000000,1028000000,1037000000,966000000,986000000,857000000,891000000,977000000,961000000,935000000,994000000,1007000000,1161000000,1263000000,1516000000,1855000000,2145000000,2547000000,3329000000,3223000000,3739000000,3962000000,4095000000,4947000000,5027000000,5184000000,5754000000,6329000000,6690000000,7663000000,8821000000,9818000000,7325000000,8416000000,9965000000,10258000000,10772000000,10514000000,10293000000,9826000000,10572000000,11464000000,11602000000,9888000000,14617000000,17108000000,15648000000,"
El Salvador,SLV,Seguro y servicios financieros (% de las importaciones de servicios comerciales),"TM.VAL.INSF.ZS.WT,,,,,,,,,,,,,,,,,10.5263157894737,10.5348460291734,7.92207792207792,9.14024564410169,12.243273364114,13.1857707509881,11.78888523512,13.223695250881,15.1267801319903,13.7416974169742,11.8360681234933,13.9059607552758,13.3071104387292,14.6126471393375,12.0473606314751,11.3235830328566,11.5951972555746,11.6806461634048,11.6096466629277,11.0330288123682,7.07166587565259,16.5406767458603,14.1833155406436,17.6063183475091,15.9717090678771,11.3724688075271,12.6867119301649,11.7257615330701,13.1932560994104,11.1807493480946,11.8393655586618,10.5274582157586,11.9291982745798,13.8827956653464,12.6441827261277,13.5079899650028,16.3699330365197,18.4991779807375,20.9462896491477,18.6073692548365,17.0987770850966,18.1885191486654,18.7817223338588,19.5367035265034,26.8294421852207,19.1877065052558,13.9062627096484,16.3620108281708,"
El Salvador,SLV,Importaciones de materias primas para la actividad agrícola (% de mercaderías  importadas),"TM.VAL.AGRI.ZS.UN,,,,1.51615967131388,1.53053786055277,1.80209316196024,1.92837800275214,1.80248630726279,2.15136716437461,2.20579135222381,1.95593537137859,1.88609119002203,2.13407841422283,2.23651052697638,2.58760323740648,1.80140528008805,2.05136759325448,2.03444397819793,1.85489354119353,2.13553355446505,1.87930188627584,2.30978248381891,1.86556519510153,2.21536058874655,1.56292328379532,1.85669882593649,2.60690073427748,2.63382623504731,,,,,,,2.71353384262329,2.00068570395552,3.08700373161929,2.94705607846594,3.25732160177811,2.31175601555592,1.56944809019898,1.89251372717643,1.62467173615978,1.60133559096344,1.46233430187349,1.33827264117219,1.40155077459842,1.4385053635055,1.55865942982075,1.6764607949257,1.96687100164187,2.23499245221827,2.00247765399327,1.77516327179606,1.88322696180905,1.91014871634836,1.99784890841365,2.0702598658777,2.16403563670355,2.1600271583607,1.89851315768704,1.97926872110843,2.17498263586118,1.8724898533264,"
El Salvador,SLV,Importaciones de bienes y servicios (% del PIB),"NE.IMP.GNFS.ZS,,,,,,28.8110103449847,29.7788105688958,28.6580618725671,27.103467447367,25.7937869258624,24.5489531476185,26.6145078069673,28.1264837147469,32.98297187864,40.8312723605542,38.2162474674518,36.8168761138318,37.4729729853764,39.5299172623691,37.1412744148143,33.244916933735,33.5878020721633,28.4703372342539,29.9092833859779,28.53653595502,29.8867720357441,29.0459604134325,26.102317967114,22.2850224827441,23.6905076472332,31.1186403692583,30.5276575266685,32.5423302679381,34.1549873469171,35.225925673205,37.8062530767527,34.140868831963,37.535256223719,36.4857048487858,36.5940881748165,41.8828186786415,40.8814464794137,40.4060013216952,42.3135617186615,43.8760536948454,44.4492447952102,47.5158891717381,52.05402148515,53.925386767807,42.1199866830439,46.5906183461333,50.2948661442788,49.077510444844,50.7262984426328,48.5515505143743,47.0740977138215,44.3605028722982,45.2748868157855,46.69924310697,46.0861034911466,41.9327086708139,53.0635805908039,56.4896845532766,49.7966816421397,"
El Salvador,SLV,Importaciones de bienes y servicios (UMN a precios actuales),"NE.IMP.GNFS.CN,,,,,,252880000,276800000,279760000,273680000,270680000,278120000,315680000,355440000,475720000,680200000,720040000,857200000,1102320000,1236480000,1286440000,1188160000,1154480000,967760600,1048723500,1044917600,1135807500,1095515800,1033141700,933715700,1035800000,1499153633.1,1603417100,1891815600,2281645100,2705134100,3373053900,3272855600,3836743500,3990321100,4129349000,4935859900,5021277400,5117092900,5603962500,6021905400,6533150000,7602490000,8855300000,9699500000,7413800000,8595000000,10201700000,10495790000,11155200000,10969480000,11033340000,10731440000,11309300000,12151540000,12388470000,10450130000,15411330000,18070440000,16938650000,"
El Salvador,SLV,Importaciones de productos manufacturados (% de importaciones de mercaderías),"TM.VAL.MANF.ZS.UN,,,,72.6405891985572,75.7375078191764,75.9126422332869,74.6309202952638,76.3765873932571,72.4695132712128,75.9649475424748,79.3093686966586,78.1425954530898,80.2163653531331,77.361688638499,74.9604885155396,75.7831574177068,77.3328793600911,75.8293550152053,76.4894204884163,73.4090456309622,60.716957443205,58.6252868029118,54.1707859015921,56.3291884559194,46.2999571681243,56.6997675607713,61.223553243999,69.4097241580726,,,,,,,70.888988158939,72.4400951817354,66.2072934411914,67.5146405567355,68.5035923716732,66.5260743108876,42.6877577178083,45.2179853922995,46.7731049302373,46.8612595019391,47.2976135149587,66.5476056080717,66.9062279846055,65.9147090862667,63.0157982185078,62.6439328635082,63.2093285974212,61.9197757777251,61.440483838843,62.9216259461632,62.8190775199737,66.0862721622834,66.3379178846,66.0449530245028,63.3812368519623,63.587886366413,64.6320311804053,66.537620293289,62.2644576870166,60.4967043157284,"
El Salvador,SLV,Importaciones de alimentos (% de importaciones de mercaderías),"TM.VAL.FOOD.ZS.UN,,,,16.4360396246187,14.7861845575116,15.6572220567691,16.3186760359683,14.7581097130993,17.6284241776233,15.4474477328763,13.909402782694,12.5659637506667,10.6398302417692,12.1531681291439,10.3419481553323,12.1759326244216,11.1922919412234,10.3142745478705,11.5191139543658,12.7958427673638,17.7327459734976,16.4835982181793,17.8881222737269,16.9975031060686,12.9708096919466,15.51342177846,12.5532644890629,14.4335507504869,,,,,,,15.1080326732619,14.7648132659807,16.9964638605663,16.8238001249406,16.4648127705612,18.5342181666438,12.3651905829786,12.8005961495804,13.4981753282863,13.4804351910724,13.6788311181089,13.745410676343,13.5815212459875,14.3900208981162,15.0191919832646,18.8928885991898,16.700571087869,16.8508842136658,16.1669148083045,15.3047483494023,16.3796844741874,17.2560387627479,18.3597767145263,16.957163297771,16.9573889257067,18.4662747337252,21.7780748710802,16.7741528480621,17.6254139593719,19.8963644879181,"
El Salvador,SLV,Importaciones de bienes y servicios (UMN a precios constantes),"NE.IMP.GNFS.KN,,,,,,2024110411.3,2227764666.4,2267515256.9,2039622077.8,1983971387.3,2117987488.9,2297283336.9,2501804411.7,2949640833.5,3019308971.4,2796526530.6,3340870019.2,4393602149.5,4466408647.4,4087433512.4,3027647568.3,2644189094.5,2059467388.8,2341008895.7,2368296453.8,2348211949.6,2272745478.2,2277438026,2270862825.7,2407269950.4,3405494381.4,3537126800,4142333100,4934642200,5642454100,6693010900,6332291400,7298765600,7758924500,7898015400,8936560500,9191454500,9273630200,9656146900,9862458700,10344219600,11298564400,12472298800,11934794200,9269210600,10102891100,10618456600,10739120900,11254686500,10969480000,11480657768,11421422576,11581576984,11882140736,12385639868,10598711576,13646033120,13765600452,13570343708,"
El Salvador,SLV,Importaciones de bienes y servicios (US$ a precios actuales),"NE.IMP.GNFS.CD,,,,,,252880000,276800000,279760000,273680000,270680000,278120000,315680000,355440000,475720000,680200000,720040000,857200000,1102320000,1236480000,1286440000,1188160000,1154480000,967760600,1048723500,1044917600,1135807500,1095515800,1033141700,933715700,1035800000,1499153633.1,1603417100,1891815600,2281645100,2705134100,3373053900,3272855600,3836743500,3990321100,4129349000,4935859900,5021277400,5117092900,5603962500,6021905400,6533150000,7602490000,8855300000,9699500000,7413800000,8595000000,10201700000,10495790000,11155200000,10969480000,11033340000,10731440000,11309300000,12151540000,12388470000,10450130000,15411330000,18070440000,16938650000,"
El Salvador,SLV,Aduana y otros impuestos a las importaciones (UMN a precios actuales),"GC.TAX.IMPT.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154800000,180100000,174400000,180900000,199700000,203800000,178800000,138000000,147700000,167300000,179600000,199200000,181330254.96,194209326.46,206461047.41,210781511.76,227400000,232100000,186800000,291200000,,,"
El Salvador,SLV,Servicios de transporte (% de las importaciones de servicios," balanza de pagos),BM.GSR.TRAN.ZS,,,,,,,,,,,,,,,,,38.6374241717219,39.7239263803681,35.9912786170378,33.5284725918042,29.2964750621618,40.2277904328018,28.295921593424,30.7779762871528,33.6915192593817,28.738478470216,33.6315635083602,36.3013209568011,30.5389572349151,29.6730759422655,43.1972157772623,47.9658463083878,50.8691374221057,51.1738484398216,50.267094017094,52.6775711404885,56.5866908103214,40.3561354019747,42.559880239521,39.2312241277351,42.2953865207968,37.5704508856683,43.6360164231834,44.3808989659044,48.6274791852138,46.6529711497057,45.8722298887897,46.141269793212,50.1716666158025,45.7785953954238,42.4448679076778,44.1326500916864,41.3271995105871,41.7221471931883,39.9427983143771,40.8101746256913,35.9546532130019,35.5989422842711,36.8889833235006,35.8300158336239,38.1709041962492,41.3789041462382,41.890561354494,35.326562370064,"
El Salvador,SLV,Importaciones de bienes (balanza de pagos," US$ a precios actuales),BM.GSR.MRCH.CD,,,,,,,,,,,,,,,,,680960000,861000000,951080000,954720000,896960000,898360000,799800000,832240000,914480000,894960000,902321651.226775,938740000,966520000,1220240000,1309501095.15697,1291384615.38461,1560490381.74026,1774086206.94608,2099498782.75812,2640673932.70192,2478697886.92176,2796630977.87295,2892632781.26784,2913100000,3514500000,3623900000,3577850000,4024200000,4510022817.5553,5393500000,6338830000,7534000000,8388810000,6429961015.98922,7495374374.07697,9014775908.89874,9159041661.36421,9684183023.97372,9581001123.72702,9407327324.61219,8975940027.19973,9512336401.29831,10375850687.8309,10456505187.1449,8945053141.24784,13186033370.9704,15410361469.9522,14385343894.0084,"
