ciudad,codigo,indicador,indicator_code
El Salvador,SLV,Servicios de transporte (% de las exportaciones de servicios comerciales),"TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,12.9435483870968,18.4774292272379,21.0314557425018,20.2451954937044,20.8592981305346,18.3399782529902,20.5324580598104,23.1324544883867,28.7090057261843,29.5440605193212,32.5256895619253,25.953819415708,35.3549127969569,29.9481929966918,26.1700373441971,26.004831978915,23.5565001771166,22.1692111959287,21.1646998460749,23.2628398791541,18.6976144422953,23.7272863793362,20.1770564367391,21.0443813069462,21.8420823539654,25.3621368165453,26.076842865164,24.2316911981404,25.8664166300317,25.1937502590244,25.0682047428529,24.8377265890921,23.5619402935534,21.8837124872071,20.7685929445946,24.190413286389,23.1925553218803,24.8858006265396,24.4886893403983,20.3223237365946,18.1144489198234,19.3763042815647,17.3247735699517,16.4352327744762,13.0480597089462,14.8103313908144,14.6270809725504,13.2317752472415,"
El Salvador,SLV,Exportaciones de productos manufacturados (% de las exportaciones de mercaderías),"TX.VAL.MANF.ZS.UN,,,,12.0602832456869,13.1886424484843,16.3249545542896,23.3117877418684,28.1503468126689,31.9481946491327,31.7458284039268,28.6662778780287,32.1506337515148,29.9319429402156,30.5139007672912,30.3768014224559,26.9871558118896,24.1343610812597,20.1087643271309,34.4215340514193,24.3584553743485,35.3730896778418,36.9137259793857,39.822273353024,33.6236527515942,24.852649547942,25.6986491930584,14.6644425652332,22.6051804221436,,,,,,,45.0867025076675,38.8049589272977,41.1360378413496,38.7506854268791,46.4864822862331,50.0380487945426,20.59570078919,21.7353828887423,23.6956161340979,22.5660164451024,23.6677624800478,78.6545693289832,77.1553346915336,74.9880327531384,73.9581350935537,71.2801719608863,71.5083624689515,67.7533959992222,70.2843543837915,72.9458377099541,75.4701816029208,76.1552424862018,76.8924758709657,76.0242468054304,76.7896145750721,75.8700995453781,74.5094299976418,75.9793330395983,74.2032899717428,71.2708118556129,"
El Salvador,SLV,Exportaciones de alimentos (% de exportaciones de mercaderías),"TX.VAL.FOOD.ZS.UN,,,,60.0942578242649,62.5507686288511,60.7361853194108,61.4979991519214,60.7909092484845,58.4261501908325,55.998538911226,59.3668288687608,53.3291453898474,54.3023827706443,57.3515194687014,56.4513295746312,55.6726214566886,64.8981538818717,69.7068309272401,46.9280996302964,64.9866877476062,46.7950338656832,44.5732570630151,43.2290259480182,48.7496592989288,68.4839260390509,67.5875032303958,81.7207935289435,70.9716302754891,,,,,,,51.0129809528434,57.1183368409821,52.4219538859369,55.1151718796532,46.6483300626087,42.0928491501109,19.2312451967214,14.7483827228532,13.5023668341539,13.5903537965581,14.2637021537637,17.2526780127603,17.7539281235124,19.1493374452247,19.6262118270738,22.4455705004382,21.15732312488,24.3385390823529,22.7274754167944,21.8427093408969,19.1063232398907,19.6024866141611,18.1542687550084,18.734669410049,17.6067855031544,18.8231538929304,20.4058666099749,18.1068642037378,19.0870838227618,21.6148994457441,"
El Salvador,SLV,Exportaciones de bienes y servicios (% del PIB),"NE.EXP.GNFS.ZS,,,,,,26.3865469625849,24.6621912384887,25.6381888957181,25.3485951762206,23.1865828092243,24.8349398015747,24.6315718477051,29.0950527015478,29.9600643407843,32.4177011549451,33.0467256307069,35.5438334073293,38.1651038820147,30.2663684957608,36.971510808615,34.1615472518312,26.6786904062207,22.7774029988505,24.488517653611,21.7541390935109,22.3237661736285,24.6681623109932,18.9923042325584,15.8106819288381,13.2377881757104,18.4969874194381,17.2257733996931,16.132915555964,19.372303140119,19.9227229684048,21.5545012590357,21.1409878973678,26.0218365312193,24.3865859021675,24.3964014453133,26.8272702258496,25.0092920568115,25.5130894550755,25.9234207599485,25.9062104819237,25.2665668798476,25.9396783352886,25.5670345496495,26.7405871721015,23.9512044914048,26.9466693264064,28.9817775582263,28.5710611774443,29.7248960481943,29.5528752334192,29.4861730232304,28.4585905008509,29.0297643758665,28.9343737810256,29.9559096080003,24.5267982788944,28.7814953892726,31.665057776255,31.1262002574112,"
El Salvador,SLV,Exportaciones de bienes y servicios (UMN a precios actuales),"NE.EXP.GNFS.CN,,,,,,231600000,229240000,250280000,255960000,243320000,281360000,292160000,367680000,432120000,540040000,622640000,827560000,1122680000,946719900,1280560000,1220920000,917000000,774247000,858652600,796567700,848385400,930400000,751724100,662448600,578784600,891100175.4,904756600,937870800,1294122000,1529942400,1923081200,2026644400,2659875600,2667080400,2752938000,3161574400,3071774700,3231026200,3433269900,3555578400,3713680000,4150320000,4349400000,4809800000,4215800000,4971100000,5878600000,6110250000,6536790000,6677020000,6911040000,6884540000,7251400000,7528970000,8052490000,6112370000,8359050000,10129310000,10587770000,"
El Salvador,SLV,Exportaciones de bienes y servicios (% del crecimiento anual),"NE.EXP.GNFS.KD.ZG,,,,,,,-0.702980228978859,15.7686470140031,10.7032582534987,-4.05049915413662,-8.40471971904833,7.67885817908018,17.9402766994524,-3.98264354343419,5.54822439677851,9.28500110212485,-8.51704933321913,-11.1195343341922,19.2681986847085,32.7488295966759,-17.4211926206211,-19.5195951400474,-15.4080710729231,20.6934883454304,-5.21408696327093,-5.18052444032048,-12.9894711872055,12.1942575094122,-9.16272011459598,-13.5857777104908,23.8946494257827,-2.07756791851749,6.42959956844248,28.5180498192278,8.87441446602371,11.8997435683447,9.337281285392,28.695594417997,2.97723988035816,6.17459216445766,15.3542333968216,-1.60587343046375,5.44282121305206,3.77045456499805,2.48377028481079,-0.97480440175778,6.20782688132225,1.90597206025171,2.49376560466258,-9.24574179544236,13.4048257910886,7.21040156272204,0.551267919848385,6.25000102636659,3.19917408759807,3.28,0.203330751355551,3.39163204174315,1.55140186915888,8.51279219584025,-24.0692053260962,29.8112364570535,9.13784202374805,5.16398612425102,"
El Salvador,SLV,Tiempo promedio para que las exportaciones pasen por aduana (días),"IC.CUS.DURS.EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,4.2,,,,,,2.9,,,,,,,3.2,"
El Salvador,SLV,Valor actual de la deuda externa (% de exportaciones de bienes," servicios e ingresos),DT.DOD.PVLX.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.971513574049,,"
El Salvador,SLV,Exportaciones de bienes y servicios (US$ a precios constantes de 2015),"NE.EXP.GNFS.KD,,,,,,1336525950.28855,1327130437.10285,1536400951.145,1700845912.75526,1631953163.44594,1494792074.11216,1609575037.55537,1898337252.97812,1822733246.93978,1923862577.63468,2102493239.17143,1923422852.7636,1709547188.25885,2038946137.10142,2706677133.10877,2235141696.13158,1798851086.24031,1521682832.37635,1836572091.94857,1740811625.93121,1650628454.1899,1436220546.72509,1611356978.59583,1463712848.60009,1264856074.66939,1567088999.45235,1534531661.14511,1633195902.20771,2098951523.2449,2285221180.85857,2557156641.35023,2795925549.86119,3598233005.87851,3705361033.91773,3934151965.98288,4538210841.02554,4465332918.91109,4708373006.25498,4885900071.20646,5007254605.32063,4958443667.02075,5266255265.87728,5366628619.86644,5500459758.51865,4991901451.6838,5661057144.94484,6069242097.79053,6102699882.45358,6484118687.743,6691556932.61038,6911040000,6925092269.55848,7159965917.89311,7271045762.97444,7890014779.2409,5990950921.76607,7776927467.07978,8487570813.323,8925867792.40898,"
El Salvador,SLV,Plazo de entrega para las exportaciones," caso de la mediana (días),LP.EXP.DURS.MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,"
