Concepto,Ene_2015,Feb_2015,Mar_2015,Abr_2015,May_2015,Jun_2015,Jul_2015,Ago_2015,Sep_2015,Oct_2015,Nov_2015,Dic_2015,Ene_2016,Feb_2016,Mar_2016,Abr_2016,May_2016,Jun_2016,Jul_2016,Ago_2016,Sep_2016,Oct_2016,Nov_2016,Dic_2016,Ene_2017,Feb_2017,Mar_2017,Abr_2017,May_2017,Jun_2017,Jul_2017,Ago_2017,Sep_2017,Oct_2017,Nov_2017,Dic_2017,Ene_2018,Feb_2018,Mar_2018,Abr_2018,May_2018,Jun_2018,Jul_2018,Ago_2018,Sep_2018,Oct_2018,Nov_2018,Dic_2018,Ene_2019,Feb_2019,Mar_2019,Abr_2019,May_2019,Jun_2019,Jul_2019,Ago_2019,Sep_2019,Oct_2019,Nov_2019,Dic_2019,Ene_2020,Feb_2020,Mar_2020,Abr_2020,May_2020,Jun_2020,Jul_2020,Ago_2020,Sep_2020,Oct_2020,Nov_2020,Dic_2020,Ene_2021,Feb_2021,Mar_2021,Abr_2021,May_2021,Jun_2021,Jul_2021,Ago_2021,Sep_2021,Oct_2021,Nov_2021,Dic_2021,Ene_2022,Feb_2022,Mar_2022,Abr_2022,May_2022,Jun_2022,Jul_2022,Ago_2022,Sep_2022,Oct_2022,Nov_2022,Dic_2022,Ene_2023,Feb_2023,Mar_2023,Abr_2023,May_2023,Jun_2023,Jul_2023,Ago_2023,Sep_2023,Oct_2023,Nov_2023,Dic_2023,Ene_2024,Feb_2024,Mar_2024,Abr_2024,May_2024,Jun_2024,Jul_2024,Ago_2024,Sep_2024,Oct_2024,Nov_2024
       1.11 Restaurantes y hoteles     ,115.56,115.53,115.64,116.15,116.24,116.22,116.55,116.5,116.54,116.66,116.95,116.95,117.26,117.43,117.73,117.73,117.7,117.98,118.05,118.54,118.56,118.75,118.67,118.75,119.25,119.32,119.45,119.59,119.92,119.7,119.75,120,120.19,120.45,120.55,120.67,121.09,121.41,121.64,121.69,121.89,122.09,121.94,122.19,122.29,122.94,122.7,122.81,123.41,123.37,123.54,123.49,123.57,123.55,123.63,123.59,123.5,123.58,123.54,123.93,124.32,124.44,124.44,124.5,124.61,124.7,125.04,125.34,125.52,125.52,125.8,126.01,126.36,126.65,126.97,127.49,127.95,129.19,129.73,130.46,131.3,131.96,132.79,133.61,135.06,135.56,136.16,136.66,137.08,138.6,139.51,140.38,141.55,141.98,143.15,144.47,144.87,145.59,146.02,147.05,147.38,148.32,148.84,149.55,150.4,151.45,152.59,152.88,153.4,153.9,154.77,155.19,155.86,156.52,157.92,158.27,158.45,158.44,159
       1.12 Bienes y servicios diversos     ,105.38,105.62,106.04,106.1,106.14,105.87,105.77,105.39,105.13,105.42,105,105.17,105.86,105.8,105.55,105.55,105.49,105.59,105.63,105.68,105.45,105.59,105.73,105.69,105.81,106.02,106.45,106.83,107.05,107.01,107.05,107.07,107.03,107.04,106.95,107.29,107.35,107.13,107.32,106.99,107.02,107.01,107.21,107.44,107.55,107.55,107.75,107.6,107.39,107.4,107.55,107.36,107.13,107.22,107.26,107.4,107.48,107.42,107.4,107.3,107.37,107.55,108.21,108.38,108.39,108.46,109.45,109.67,109.42,109.65,109.65,109.99,110.25,110.37,110.19,110.34,110.36,111.16,111.8,112.28,112.23,112.89,113.42,114.04,114.44,115.28,116.29,117.58,118.41,119.46,120.55,121.92,122.64,123.58,124.93,125.3,125.91,125.93,126.37,126.19,126.37,126.47,126.73,126.32,126.17,126.51,126.51,126.53,126.83,126.74,126.92,126.76,127.07,127.01,127.47,127.32,127.61,127.51,127.76
