"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"El Salvador","SLV","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120.417485412853","120.495806620754","109.233538329312","98.6473218648066","130.151277680326","117.187145818959","127.592565542883","77.1553842198901","77.6738836958763","122.254786795674","204.331133072161","159.254880196897","116.199299526272","98.2862894803593","71.0767797974863","39.5672226595412","33.4586981307031","","",
"El Salvador","SLV","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191000","170000","220000","296000","246000","454000","114000","175000","73000","66000",
"El Salvador","SLV","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5","","41.2935333251953","","37.3134346008301","","45.2736320495605","42.7860679626465","41.3461532592773","37.980770111084","42.788459777832","44.711540222168","44.711540222168","43.1279602050781","43.1279602050781","43.1924896240234","40.8450698852539","42.2535209655762","46.7980308532715","45.8128089904785","46.7980308532715","43.8423652648926","38.3495140075684","42.512077331543","40.0966186523438","36.7149772644043","32.3671493530273","29.9019603729248",
"El Salvador","SLV","Servicios de viaje (% de las exportaciones de servicios comerciales)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","30.1209677419355","30.4131599081867","33.5771762984638","20.6428098078197","10.9544112823877","12.7944907575208","18.2348650619985","19.052102950408","19.2868297761582","22.1427111020241","22.1308815575986","17.8184225771745","19.9239216249193","18.1262093502278","25.2485571560211","24.9505820338239","21.7499114417287","21.7239185750636","19.138019497178","20.5438066465257","16.2690737158822","19.6425889773239","22.1935325218246","21.7791711570491","18.8822146774615","16.8383153311563","19.6759444934627","26.8969617932446","22.5030539446434","24.9285092627129","25.8264113135252","31.8016306498852","28.1803275423701","25.2809488492275","26.6049254896357","26.2858372060015","30.8876888846587","29.9628960326718","36.2791802327888","33.88452979186","33.3161453883435","35.0370117821823","36.8653241857548","40.8020669974171","30.4059753297944","33.3709264719619","44.9302019523465","55.7501569726033",
"El Salvador","SLV","Exportaciones de servicios comerciales (US$ a precios actuales)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","99200000","104560000","109360000","120720000","121960000","110360000","109680000","127440000","153680000","195640000","190534093.133972","241660000","278660000","320420000","301080554.879533","283970893.970894","337645768.962423","361275149.597674","446570242.016326","415896435.200609","531467732.724158","760485367.594574","928954882.924049","1020700000","1148700000","1194300000","1246700000","1421691937.15393","1396869172.75003","1447740000","1477170000","1515960000","1506370000","1263085503.25538","1465781214.65485","1578363354.81226","1806512337.52143","2073098536.14548","2264148303.48667","2410782455.68829","2489182977.95316","2491103461.55834","2749445121.1119","3199630667.159","2092556410.72052","2975763420.18141","4148600541.00183","4941328915.08876",
"El Salvador","SLV","Mercaderías exportadas por la economía informante (US$ actuales)","TX.VAL.MRCH.WL.CD","116700000","119200000","136300000","154000000","178100000","188400000","192100000","206800000","210600000","201355000","236184000","244931000","301717000","358928000","462496000","514243000","720719000","973975000","843494000","1223435000","1070317000","796506000","699445000","741301000","717571000","678970000","734695000","590934000","608759600","497528000","586006938.6","588243492.7","597511000","736785346.7","1249118000","985201733","1020165354","1353903427","1257070382","1176644000","2927422096","2858881044","2989915509","3121223179","3296465843","3436415427","3729955471","4014460126","4640904788","3865924086","4499241451","5308126692","5339033020","5490581966","5272354227","5484745706","5326692329","5662788725","5852623482","5943316489","5044277945","","","",
"El Salvador","SLV","Mercaderías exportadas hacia economías en desarrollo en Oriente Medio y Norte de África (% del total de mercaderías exportadas)","TX.VAL.MRCH.R4.ZS","","","","","","","","0.0967117988394584","","0.0158923294678553","","0.0220470254888111","0.000662872824534249","0.473075380020505","","0.310359110381668","","0.0159141661746965","","","","","","","","","","","","","","","","1.08818051660636","","","","0.19754688160635","","0.211151376287135","0.297669578019063","0.0047095698606479","0.0231510220913069","0.0501077273333936","0.00347723912393653","0.0111700697472163","0.028512324296324","0.0127801493574979","0.0277466799864027","0.0819224053433728","0.061160042864301","0.0237619799448449","0.0469758285930211","0.131971675222597","0.0938547522975451","0.0638053099922515","0.0673345817342025","0.056731358982495","0.0140874259643686","0.0197241052562093","0.0251973823381376","","","",
"El Salvador","SLV","Mercaderías exportadas hacia economías en desarrollo fuera de la región (% del total de mercaderías exportadas)","TX.VAL.MRCH.OR.ZS","0.171379605826907","0.167785234899329","0.146735143066764","0.25974025974026","0.449185850645705","1.32696390658174","0.104112441436752","0.483558994197292","2.75403608736942","1.20136078071069","0.015242353419368","0.823088951582282","0.00894878313121236","0.49731422457986","0.00562167024147236","0.381142767135381","0.120990288864315","0.187581816781745","0.116776171496181","0.240797426916837","","0.119019819059743","","0.0117361233830792","0.218514962282478","","0.00367499438542524","0.034860068975554","0.00479663893596093","0.00783875480374974","0.128844402387764","0.0316174387440019","0.00953957333003074","1.11372762616494","0.00696491444363143","0.451816196713897","0.102167321193795","0.792620565543483","2.74827420124516","1.47640237828944","0.917799658501997","1.73862340667575","0.712930012096874","1.08592045669926","0.997678197389409","1.01313481270203","1.42641920027361","1.40665913292471","0.555244724404374","1.22873237920068","1.03973968744448","0.675161861792277","0.445842850396906","1.47862544449264","0.514778025744362","1.36263416767421","0.857870328857133","2.34287917919805","2.03776563393832","1.07037390853644","1.83689717359538","","","",
"El Salvador","SLV","Exportaciones de metales y minerales (% de las exportaciones de mercaderías)","TX.VAL.MMTL.ZS.UN","","","","0.0801088654130179","0.100375637673325","0.16304104046123","0.169312953024204","0.415024893164728","0.621608472206477","0.918532109278294","1.03366430736348","1.02446483983721","0.941845053624276","1.17031093593594","1.38291313635332","0.976518623897061","0.926636844743071","0.983737319480503","1.50180730451698","1.12995487762401","2.56374880873253","2.42122094694837","2.24356586737885","2.13432871208182","2.0807149201838","2.21575637117323","1.11065150293855","2.27949316839574","","","","","","","2.48633351045412","2.86007290950737","2.19500666078485","1.88715125953098","2.34983392388896","2.49748173669244","1.07203175658097","1.0918389014826","1.15584362357537","1.31534426733791","1.34659452951972","1.44832477015354","1.85692050804381","2.00278861682249","1.74053641550667","1.29712979888706","1.69920510445875","2.00585034068723","1.77742535831435","1.36818616220759","1.53576875268343","1.23613153909728","1.12619341923859","1.15638828382003","1.26795177041228","1.06688895694381","0.90218527850289","1.06667410327226","1.12672812630008","1.12538630226481",
"El Salvador","SLV","Exportaciones de combustible (% de exportaciones de mercaderías)","TX.VAL.FUEL.ZS.UN","","","","3.12175271917722","2.87726088298074","1.96664317956131","1.59659167514406","2.0348202035076","1.77692816385142","1.40831618464565","0.481332013525114","0.467311187929477","0.579131437899182","0.535393865492902","0.848300773875269","1.23686821840045","0.833088413676305","0.682381203181942","0.921771709335544","0.844280406194432","2.79767420859042","4.33640942342963","3.05200272252675","2.63785573870549","2.69873456632106","2.51404092758215","1.08999617927698","1.28411444406028","","","","","","","0.540126703213827","0.0565357655124746","3.23067591345229","3.28093904664212","3.77818300040852","4.6829748256665","2.64228351172831","2.86889555601653","2.15866523854517","2.00487312073414","1.85819761530743","1.86278033146763","2.2630253508994","2.84937473805287","3.44085217496394","2.75552281120897","2.92291722483646","3.17562525140071","3.18128162520571","2.310418912892","2.57051935028685","1.9602368517525","2.85703125629467","3.1700621689001","3.53674673172561","3.37096131973082","3.20991367903261","3.88664003808006","4.79090726433674","5.29654060272418",
